Med1 Med2 Caracteristca1 Caracteristca2 Caracteristca3 Caracteristca4
ACCOLATE ACCUTANE 0.685 0.625 0.625 0.375
ACCOLATE PEDIAPRED 0.349425287356 0.16666666666666666 0.11111111111111116 0.0
ACCUPRIL ACCUTANE 0.614285714286 0.5625 0.5 0.5
ACCUPRIL ACIPHEX 0.395061728395 0.4375 0.375 0.25
ACCUPRIL MONOPRIL 0.645454545455 0.4375 0.5 0.0
ACCUPRIL NEORAL 0.47027027027 0.1875 0.25 0.0
ACCUTANE ACCOLATE 0.685 0.625 0.625 0.375
ACCUTANE ACCUPRIL 0.614285714286 0.5625 0.5 0.5
ACCUTANE ZOLOFT 0.32972972973 0.0625 0.0 0.0
ACETAZOLAMIDE ACETOHEXAMIDE 0.68253968254 0.7307692307692307 0.6923076923076923 0.3076923076923077
ACETAZOLAMIDE CHLORPROPAMIDE 0.456737588652 0.4642857142857143 0.4285714285714286 0.0
ACETOHEXAMIDE ACETAZOLAMIDE 0.68253968254 0.7307692307692307 0.6923076923076923 0.3076923076923077
ACETOHEXAMIDE ZYRTEC 0.309278350515 0.11538461538461539 0.15384615384615385 0.0
ACIPHEX ACCUPRIL 0.395061728395 0.4375 0.375 0.25
ACIPHEX DEPO@MEDROL 0.294505494505 0.18181818181818182 0.09090909090909094 0.0
ACIPHEX PREPIDIL 0.345679012346 0.25 0.125 0.0
ACULAR OCULAR@LUBRICANTS 0.474576271186 0.2647058823529412 0.2941176470588235 0.0
ADDERALL INDERAL 0.824691358025 0.5625 0.625 0.0
ADDERALL LOTENSIN 0.281818181818 0.125 0.125 0.0
ADDERALL LOVASTATIN 0.265306122449 0.2 0.09999999999999998 0.0
ADDERALL UROCIT@K 0.232098765432 0.125 0.0 0.0
ADRIAMYCIN AREDIA 0.452631578947 0.3 0.30000000000000004 0.1
ADRIAMYCIN CEREBRA 0.404597701149 0.15 0.09999999999999998 0.0
ADRIAMYCIN IDAMYCIN 0.764444444444 0.6 0.7 0.0
ADRIAMYCIN LUVOX 0.238961038961 0.0 0.0 0.0
ADRIAMYCIN PRECOSE 0.528735632184 0.2 0.09999999999999998 0.0
AGGRASTAT AGGRENOX 0.652631578947 0.5 0.4444444444444444 0.4444444444444444
AGGRASTAT NAPRELAN 0.353684210526 0.3333333333333333 0.2222222222222222 0.0
AGGRASTAT PERCEPTIN 0.435294117647 0.2222222222222222 0.11111111111111116 0.0
AGGRENOX AGGRASTAT 0.652631578947 0.5 0.4444444444444444 0.4444444444444444
AGGRENOX NEUPOGEN 0.385714285714 0.25 0.0 0.0
AKARPINE ATROPINE 0.775 0.6875 0.625 0.125
ALDARA ALORA 0.716981132075 0.6666666666666666 0.6666666666666667 0.3333333333333333
ALDARA AVAPRO 0.473333333333 0.5 0.33333333333333337 0.16666666666666666
ALDESLEUKIN LACRILUBE 0.45 0.22727272727272727 0.18181818181818177 0.0
ALDESLEUKIN OPRELVEKIN 0.468468468468 0.36363636363636365 0.4545454545454546 0.0
ALDESLEUKIN PREMPRO 0.236734693878 0.09090909090909091 0.09090909090909094 0.0
ALKERAN LEUKERAN 0.779220779221 0.625 0.625 0.0
ALLEGRA CLOZARIL 0.42962962963 0.25 0.25 0.0
ALLEGRA SULFASALAZINE 0.315384615385 0.19230769230769232 0.15384615384615385 0.0
ALLEGRA VIAGRA 0.674626865672 0.42857142857142855 0.4285714285714286 0.0
ALLOPURINOL APRESOLINE 0.493457943925 0.4090909090909091 0.2727272727272727 0.09090909090909091
ALLOPURINOL SYNVISC 0.2 0.09090909090909091 0.09090909090909094 0.0
ALORA ALDARA 0.716981132075 0.6666666666666666 0.6666666666666667 0.3333333333333333
ALORA HYDROXYZINE 0.2 0.09090909090909091 0.09090909090909094 0.0
ALORA NOROXIN 0.366666666667 0.2857142857142857 0.1428571428571429 0.0
ALORA SERACULT 0.358208955224 0.1875 0.125 0.0
ALPRAZOLAM GLUCOPHAGE 0.22962962963 0.3 0.09999999999999998 0.0
ALPRAZOLAM LORAZEPAM 0.570297029703 0.55 0.6 0.0
ALTACE AMARYL 0.246666666667 0.4166666666666667 0.16666666666666663 0.16666666666666666
ALTACE AMERGE 0.32 0.3333333333333333 0.33333333333333337 0.16666666666666666
ALTACE ARTANE 0.686666666667 0.6666666666666666 0.6666666666666667 0.16666666666666666
ALTACE NEOCATE 0.571428571429 0.21428571428571427 0.2857142857142857 0.0
ALTACE NIZORAL 0.298507462687 0.21428571428571427 0.0 0.0
ALTACE PONDIMIN 0.302702702703 0.0 0.0 0.0
ALTACE VECURONIUM 0.29 0.1 0.0 0.0
ALUPENT ATROVENT 0.632098765432 0.5 0.5 0.125
AMANTADINE RANITIDINE 0.736 0.6 0.6 0.0
AMANTADINE RIMANTADINE 0.904672897196 0.7727272727272727 0.8181818181818181 0.0
AMARYL ACETOHEXAMIDE 0.29247311828 0.19230769230769232 0.15384615384615385 0.07692307692307693
AMARYL ALTACE 0.246666666667 0.4166666666666667 0.16666666666666663 0.16666666666666666
AMARYL AMERGE 0.633333333333 0.5833333333333334 0.5 0.3333333333333333
AMBIEN AMEN 0.64 0.5833333333333334 0.6666666666666667 0.3333333333333333
AMBIEN DENAVIR 0.411940298507 0.2857142857142857 0.0 0.0
AMEN AMBIEN 0.64 0.5833333333333334 0.6666666666666667 0.3333333333333333
AMEN AMICAR 0.576 0.4166666666666667 0.33333333333333337 0.3333333333333333
AMERGE ALTACE 0.32 0.3333333333333333 0.33333333333333337 0.16666666666666666
AMERGE AMARYL 0.633333333333 0.5833333333333334 0.5 0.3333333333333333
AMERGE EDECRIN 0.441791044776 0.21428571428571427 0.2857142857142857 0.0
AMICAR AMIKIN 0.613333333333 0.5833333333333334 0.5 0.5
AMICAR IMDUR 0.631578947368 0.25 0.33333333333333337 0.0
AMIKIN ALLEGRA 0.220895522388 0.21428571428571427 0.1428571428571429 0.14285714285714285
AMIKIN AMICAR 0.613333333333 0.5833333333333334 0.5 0.5
AMILORIDE AMLODIPINE 0.597849462366 0.55 0.5 0.2
AMIODARONE AMRINONE 0.548837209302 0.55 0.5 0.2
AMIODARONE GLIPIZIDE 0.374193548387 0.2 0.19999999999999996 0.0
AMIODARONE KEFZOL 0.225 0.1 0.09999999999999998 0.0
AMIODARONE VOSOL 0.279452054795 0.2 0.19999999999999996 0.0
AMIODARONE ZINACEF 0.356626506024 0.25 0.19999999999999996 0.0
AMLODIPINE AMILORIDE 0.597849462366 0.55 0.5 0.2
AMLODIPINE CEFUROXIME 0.356 0.25 0.19999999999999996 0.0
AMLODIPINE CYTOTEC 0.418390804598 0.15 0.09999999999999998 0.0
AMOXICILLIN AMOXIL 0.597701149425 0.5454545454545454 0.5454545454545454 0.45454545454545453
AMOXICILLIN ATARAX 0.266666666667 0.18181818181818182 0.09090909090909094 0.09090909090909091
AMOXIL AMOXICILLIN 0.597701149425 0.5454545454545454 0.5454545454545454 0.45454545454545453
AMRINONE AMIODARONE 0.548837209302 0.55 0.5 0.2
AMRINONE VEXOL 0.185074626866 0.125 0.125 0.0
AMRINONE VICODIN 0.446753246753 0.25 0.125 0.0
ANAPROX ANTACID 0.454054054054 0.42857142857142855 0.2857142857142857 0.2857142857142857
ANAPROX AVAPRO 0.75223880597 0.7142857142857143 0.7142857142857143 0.14285714285714285
ANAPROX REMERON 0.481081081081 0.2857142857142857 0.2857142857142857 0.0
ANASPAZ ANTISPAS 0.775308641975 0.6875 0.625 0.25
ANASPAZ CYTOSAR 0.427027027027 0.21428571428571427 0.1428571428571429 0.0
ANASPAZ DYNACIRC 0.503703703704 0.25 0.25 0.0
ANSAID ASACOL 0.433333333333 0.5 0.33333333333333337 0.16666666666666666
ANSAID CELEBREX 0.383783783784 0.0 0.0 0.0
ANSAID GLUCOPHAGE 0.242857142857 0.1 0.09999999999999998 0.0
ANTACID ATACAND 0.659459459459 0.6428571428571429 0.5714285714285714 0.14285714285714285
ANTACID DOXEPIN 0.562162162162 0.14285714285714285 0.1428571428571429 0.0
ANTACID NORPRAMIN 0.422727272727 0.3333333333333333 0.2222222222222222 0.0
ANTACID SERZONE 0.389189189189 0.14285714285714285 0.0 0.0
ANTACID ZANTAC 0.760563380282 0.6428571428571429 0.5714285714285714 0.0
ANTISPAS AMLODIPINE 0.429787234043 0.3 0.19999999999999996 0.1
ANTISPAS ANASPAZ 0.775308641975 0.6875 0.625 0.25
ANTISPAS E@VISTA 0.567567567568 0.3125 0.375 0.0
APRESOLINE ALLOPURINOL 0.493457943925 0.4090909090909091 0.2727272727272727 0.09090909090909091
APRESOLINE COGNEX 0.380952380952 0.25 0.19999999999999996 0.0
APRESOLINE PREMPHASE 0.419801980198 0.35 0.4 0.0
APRESOLINE TAXOTERE 0.373333333333 0.25 0.19999999999999996 0.0
APRESOLINE TRIDRATE 0.56170212766 0.2 0.19999999999999996 0.0
AREDIA ADRIAMYCIN 0.452631578947 0.3 0.30000000000000004 0.1
AREDIA LASIX 0.4 0.3333333333333333 0.16666666666666663 0.0
ARTANE ALTACE 0.686666666667 0.6666666666666666 0.6666666666666667 0.16666666666666666
ASACOL ANSAID 0.433333333333 0.5 0.33333333333333337 0.16666666666666666
ASACOL HESPAN 0.4 0.25 0.0 0.0
ASACOL OS@CAL 0.736842105263 0.4166666666666667 0.5 0.0
ASACOL TOLBUTAMIDE 0.367816091954 0.13636363636363635 0.09090909090909094 0.0
ASACOL VIRACEPT 0.454054054054 0.25 0.25 0.0
ASPARAGINASE LORAZEPAM 0.396261682243 0.25 0.25 0.0
ASPARAGINASE PEGASPARGASE 0.661290322581 0.625 0.5 0.0
ATACAND ANTACID 0.659459459459 0.6428571428571429 0.5714285714285714 0.14285714285714285
ATACAND CEREBYX 0.383783783784 0.14285714285714285 0.0 0.0
ATACAND SOLU@MEDROL 0.378021978022 0.045454545454545456 0.09090909090909094 0.0
ATARAX AMOXICILLIN 0.266666666667 0.18181818181818182 0.09090909090909094 0.09090909090909091
ATARAX ATIVAN 0.54 0.5833333333333334 0.5 0.3333333333333333
ATARAX CEREBRA 0.507462686567 0.21428571428571427 0.1428571428571429 0.0
ATARAX CYTOXAN 0.388059701493 0.2857142857142857 0.2857142857142857 0.0
ATARAX VERELAN 0.394029850746 0.21428571428571427 0.1428571428571429 0.0
ATGAM EQUAGESIC 0.285714285714 0.16666666666666666 0.11111111111111116 0.0
ATGAM PENICILLIN@G@PROCAINE 0.19375 0.07142857142857142 0.09523809523809523 0.0
ATGAM RATGAM 0.885245901639 0.75 0.8333333333333334 0.0
ATIVAN ATARAX 0.54 0.5833333333333334 0.5 0.3333333333333333
ATIVAN LOTRISONE 0.550649350649 0.2222222222222222 0.33333333333333337 0.0
ATIVAN TORECAN 0.555223880597 0.35714285714285715 0.2857142857142857 0.0
ATROPINE AKARPINE 0.775 0.6875 0.625 0.125
ATROVENT ALUPENT 0.632098765432 0.5 0.5 0.125
ATROVENT NATRU@VENT 0.913684210526 0.65 0.7 0.0
ATTENUVAX MERUVAX 0.557142857143 0.5 0.5555555555555556 0.0
AVANDIA COUMADIN 0.476712328767 0.3125 0.25 0.0
AVANDIA MIRAPEX 0.331428571429 0.14285714285714285 0.0 0.0
AVANDIA PRANDIN 0.589189189189 0.5714285714285714 0.5714285714285714 0.0
AVAPRO ANAPROX 0.75223880597 0.7142857142857143 0.7142857142857143 0.14285714285714285
AVAPRO CISPLATIN 0.350617283951 0.1111111111111111 0.11111111111111116 0.0
AZITHROMYCIN ERYTHROMYCIN 0.9 0.7083333333333334 0.75 0.0
AZITHROMYCIN PROCANBID 0.438260869565 0.25 0.16666666666666663 0.0
AZITHROMYCIN TOLBUTAMIDE 0.4 0.20833333333333334 0.08333333333333337 0.0
BENADRYL BENYLIN 0.518518518519 0.5625 0.375 0.375
BENTYL GUAIFENESIN 0.404597701149 0.18181818181818182 0.18181818181818177 0.0
BENTYL PROVENTIL 0.72 0.3888888888888889 0.4444444444444444 0.0
BENTYL RENAGEL 0.546478873239 0.35714285714285715 0.4285714285714286 0.0
BENYLIN BENADRYL 0.518518518519 0.5625 0.375 0.375
BENYLIN PROSOM 0.253521126761 0.0 0.0 0.0
BENYLIN VENTOLIN 0.716049382716 0.5625 0.625 0.0
BEPRIDIL PREPIDIL 0.704545454545 0.625 0.625 0.0
BETAGAN BETOPTIC 0.553086419753 0.4375 0.375 0.375
BETAGAN HALDOL 0.197183098592 0.14285714285714285 0.0 0.0
BETAGAN LONITEN 0.491891891892 0.21428571428571427 0.1428571428571429 0.0
BETAGAN PENICILLIN@G@POTASSIUM 0.300689655172 0.11363636363636363 0.13636363636363635 0.0
BETOPTIC BETAGAN 0.553086419753 0.4375 0.375 0.375
BETOPTIC VANCOMYCIN 0.522448979592 0.2 0.19999999999999996 0.0
BREVIBLOC BREVITAL 0.753684210526 0.6666666666666666 0.5555555555555556 0.5555555555555556
BREVIBLOC LITHOBID 0.32 0.2222222222222222 0.11111111111111116 0.0
BREVITAL BREVIBLOC 0.753684210526 0.6666666666666666 0.5555555555555556 0.5555555555555556
BUMEX BUPRENEX 0.557746478873 0.5 0.5 0.25
BUMEX CYTOXAN 0.39375 0.07142857142857142 0.1428571428571429 0.0
BUMEX DESIPRAMINE 0.352380952381 0.09090909090909091 0.09090909090909094 0.0
BUMEX IMIPENEM 0.423880597015 0.1875 0.125 0.0
BUMEX PERMAX 0.63606557377 0.25 0.33333333333333337 0.0
BUMEX TAXOTERE 0.322388059701 0.125 0.125 0.0
BUPIVACAINE ESMOLOL 0.24 0.045454545454545456 0.0 0.0
BUPIVACAINE ROPIVACAINE 0.856603773585 0.7727272727272727 0.8181818181818181 0.0
BUPRENEX BUMEX 0.557746478873 0.5 0.5 0.25
BUPRENEX HALOTESTIN 0.334693877551 0.1 0.09999999999999998 0.0
BUPRENEX KLONOPIN 0.472727272727 0.1875 0.0 0.0
BUPRENEX LEVOBUNOLOL 0.368316831683 0.22727272727272727 0.09090909090909094 0.0
BUPRENEX OCULAR@LUBRICANTS 0.339393939394 0.17647058823529413 0.17647058823529416 0.0
BUPRENEX PROVERA 0.498765432099 0.375 0.25 0.0
BUPROPION BUSPIRONE 0.591489361702 0.6111111111111112 0.4444444444444444 0.2222222222222222
BUPROPION DEFEROXAMINE 0.523364485981 0.25 0.25 0.0
BUPROPION LAMICTAL 0.307692307692 0.1111111111111111 0.0 0.0
BUPROPION SERENTIL 0.364835164835 0.2222222222222222 0.11111111111111116 0.0
BUSPIRONE BUPROPION 0.591489361702 0.6111111111111112 0.4444444444444444 0.2222222222222222
BUSPIRONE EULEXIN 0.285 0.2222222222222222 0.2222222222222222 0.0
BUSPIRONE NORTRIPTYLINE 0.464406779661 0.19230769230769232 0.23076923076923073 0.0
CAFERGOT CARAFATE 0.485714285714 0.5 0.25 0.25
