Medicamento1 Medicamento2 Clase
ACCOLATE ACCUTANE 1
ACCOLATE PEDIAPRED 0
ACCUPRIL ACCUTANE 1
ACCUPRIL ACIPHEX 1
ACCUPRIL MONOPRIL 1
ACCUPRIL NEORAL 0
ACCUTANE ACCOLATE 1
ACCUTANE ACCUPRIL 1
ACCUTANE ZOLOFT 0
ACETAZOLAMIDE ACETOHEXAMIDE 1
ACETAZOLAMIDE CHLORPROPAMIDE 0
ACETOHEXAMIDE ACETAZOLAMIDE 1
ACETOHEXAMIDE ZYRTEC 0
ACIPHEX ACCUPRIL 1
ACIPHEX DEPO@MEDROL 0
ACIPHEX PREPIDIL 0
ACULAR OCULAR@LUBRICANTS 1
ADDERALL INDERAL 1
ADDERALL LOTENSIN 0
ADDERALL LOVASTATIN 0
ADDERALL UROCIT@K 0
ADRIAMYCIN AREDIA 1
ADRIAMYCIN CEREBRA 0
ADRIAMYCIN IDAMYCIN 1
ADRIAMYCIN LUVOX 0
ADRIAMYCIN PRECOSE 0
AGGRASTAT AGGRENOX 1
AGGRASTAT NAPRELAN 0
AGGRASTAT PERCEPTIN 0
AGGRENOX AGGRASTAT 1
AGGRENOX NEUPOGEN 0
AKARPINE ATROPINE 1
ALDARA ALORA 1
ALDARA AVAPRO 0
ALDESLEUKIN LACRILUBE 0
ALDESLEUKIN OPRELVEKIN 1
ALDESLEUKIN PREMPRO 0
ALKERAN LEUKERAN 1
ALLEGRA CLOZARIL 0
ALLEGRA SULFASALAZINE 0
ALLEGRA VIAGRA 1
ALLOPURINOL APRESOLINE 1
ALLOPURINOL SYNVISC 0
ALORA ALDARA 1
ALORA HYDROXYZINE 0
ALORA NOROXIN 0
ALORA SERACULT 0
ALPRAZOLAM GLUCOPHAGE 0
ALPRAZOLAM LORAZEPAM 1
ALTACE AMARYL 1
ALTACE AMERGE 1
ALTACE ARTANE 1
ALTACE NEOCATE 0
ALTACE NIZORAL 0
ALTACE PONDIMIN 0
ALTACE VECURONIUM 0
ALUPENT ATROVENT 1
AMANTADINE RANITIDINE 1
AMANTADINE RIMANTADINE 1
AMARYL ACETOHEXAMIDE 0
AMARYL ALTACE 1
AMARYL AMERGE 1
AMBIEN AMEN 1
AMBIEN DENAVIR 0
AMEN AMBIEN 1
AMEN AMICAR 0
AMERGE ALTACE 1
AMERGE AMARYL 1
AMERGE EDECRIN 0
AMICAR AMIKIN 1
AMICAR IMDUR 0
AMIKIN ALLEGRA 0
AMIKIN AMICAR 1
AMILORIDE AMLODIPINE 1
AMIODARONE AMRINONE 1
AMIODARONE GLIPIZIDE 0
AMIODARONE KEFZOL 0
AMIODARONE VOSOL 0
AMIODARONE ZINACEF 0
AMLODIPINE AMILORIDE 1
AMLODIPINE CEFUROXIME 0
AMLODIPINE CYTOTEC 0
AMOXICILLIN AMOXIL 1
AMOXICILLIN ATARAX 1
AMOXIL AMOXICILLIN 1
AMRINONE AMIODARONE 1
AMRINONE VEXOL 0
AMRINONE VICODIN 0
ANAPROX ANTACID 0
ANAPROX AVAPRO 1
ANAPROX REMERON 0
ANASPAZ ANTISPAS 1
ANASPAZ CYTOSAR 0
ANASPAZ DYNACIRC 0
ANSAID ASACOL 1
ANSAID CELEBREX 0
ANSAID GLUCOPHAGE 0
ANTACID ATACAND 1
ANTACID DOXEPIN 0
ANTACID NORPRAMIN 0
ANTACID SERZONE 0
ANTACID ZANTAC 0
ANTISPAS AMLODIPINE 0
ANTISPAS ANASPAZ 1
ANTISPAS E@VISTA 0
APRESOLINE ALLOPURINOL 1
APRESOLINE COGNEX 0
APRESOLINE PREMPHASE 0
APRESOLINE TAXOTERE 0
APRESOLINE TRIDRATE 0
AREDIA ADRIAMYCIN 1
AREDIA LASIX 0
ARTANE ALTACE 1
ASACOL ANSAID 1
ASACOL HESPAN 0
ASACOL OS@CAL 1
ASACOL TOLBUTAMIDE 0
ASACOL VIRACEPT 0
ASPARAGINASE LORAZEPAM 0
ASPARAGINASE PEGASPARGASE 1
ATACAND ANTACID 1
ATACAND CEREBYX 0
ATACAND SOLU@MEDROL 0
ATARAX AMOXICILLIN 1
ATARAX ATIVAN 1
ATARAX CEREBRA 0
ATARAX CYTOXAN 0
ATARAX VERELAN 0
ATGAM EQUAGESIC 0
ATGAM PENICILLIN@G@PROCAINE 0
ATGAM RATGAM 1
ATIVAN ATARAX 1
ATIVAN LOTRISONE 0
ATIVAN TORECAN 0
ATROPINE AKARPINE 1
ATROVENT ALUPENT 1
ATROVENT NATRU@VENT 1
ATTENUVAX MERUVAX 1
